Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0025-0157,1.836,210,0.009,143,36,172,15
2,0026-0162,1.519,220,0.007,150,37,174,15
3,0082-0060,2.975,360,0.008,36,100,83,64
4,0083-0063,2.469,360,0.007,44,101,83,65
5,0035-0151,3.418,430,0.008,123,57,177,14
6,0036-0154,2.912,430,0.007,131,57,177,14
7,0032-0209,1.393,330,0.004,198,48,220,15
8,0067-0184,4.558,1050,0.004,148,119,220,14
9,0029-0071,3.671,290,0.013,42,43,100,14
10,0031-0071,3.418,340,0.010,44,48,98,14
11,0016-0157,0.949,110,-0.009,149,11,164,22
12,0021-0157,0.823,190,-0.004,150,11,163,30
13,0027-0106,1.139,310,0.004,96,43,114,12
14,0028-0110,0.633,290,0.002,105,43,115,14
15,0072-0092,6.710,820,0.008,39,112,145,30
16,0071-0099,5.760,820,0.007,53,112,144,30
17,0042-0147,3.481,590,0.006,120,72,175,13
18,0043-0154,3.165,620,0.005,129,74,179,12
19,0029-0198,3.671,360,0.010,169,46,227,10
20,0049-0174,6.393,760,0.008,124,86,225,10
21,0024-0216,2.089,200,-0.010,199,14,232,34
22,0024-0212,2.089,210,-0.010,196,14,229,35
23,0029-0042,1.709,260,0.007,28,42,55,16
24,0029-0045,1.266,290,0.004,35,44,55,15
25,0035-0224,1.836,200,-0.009,209,25,238,45
26,0035-0222,1.456,190,-0.008,210,25,233,44
27,0021-0195,1.962,170,-0.012,179,13,210,30
28,0048-0226,5.760,690,-0.008,181,14,272,83
29,0041-0167,4.811,510,-0.009,128,16,204,67
30,0067-0174,5.824,1040,-0.006,128,15,220,119
31,0040-0129,4.558,530,0.009,93,67,165,14
32,0066-0132,4.558,1050,0.004,95,119,167,14
33,0023-0192,2.342,190,-0.012,173,13,210,32
34,0027-0191,2.152,250,-0.009,174,14,208,39
35,0014-0178,0.886,110,-0.008,170,9,184,20
36,0014-0174,0.570,110,-0.005,169,9,178,20
37,0028-0279,1.393,240,-0.006,268,16,290,40
38,0029-0276,0.886,220,-0.004,268,18,282,40
39,0077-0199,1.772,190,-0.009,184,67,212,86
40,0083-0190,0.696,280,-0.002,184,69,195,97
41,0034-0065,2.785,290,0.010,43,49,87,20
42,0035-0070,2.975,420,0.007,46,56,93,14
43,0023-0054,1.582,210,0.008,42,34,67,13
44,0025-0058,1.393,220,0.006,46,35,68,13
45,0084-0180,3.355,350,-0.010,154,67,207,102
46,0088-0177,3.355,430,-0.008,151,66,204,109
47,0071-0200,3.355,270,-0.012,174,57,227,84
48,0085-0210,4.621,580,-0.008,174,56,247,114
49,0075-0122,3.228,400,0.008,97,94,148,54
50,0087-0119,3.545,640,0.006,91,119,147,55
51,0067-0096,7.976,1030,0.008,33,119,159,16
52,0067-0107,6.203,1030,0.006,58,119,156,16
53,0045-0042,4.494,460,0.010,6,68,77,22
54,0042-0050,4.114,550,0.007,18,70,83,15
55,0099-0102,3.798,390,0.010,72,118,132,79
56,0093-0122,2.532,520,0.005,101,119,141,67
57,0042-0076,1.329,280,0.005,66,56,87,28
58,0075-0075,1.139,880,0.001,66,119,84,31
59,0025-0115,0.760,110,0.007,109,30,121,19
60,0025-0117,0.506,110,0.005,113,31,121,20
61,0030-0142,2.659,260,0.010,120,43,162,17
62,0030-0143,2.215,260,0.009,126,43,161,17
63,0023-0203,2.215,210,-0.011,185,12,220,33
64,0023-0201,2.089,210,-0.010,185,13,218,34
65,0033-0083,1.646,230,0.007,70,44,96,21
66,0034-0085,1.393,240,0.006,74,45,96,21
