Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0034-0186,2.152,220,-0.010,168,22,202,44
2,0037-0187,2.215,280,-0.008,169,22,204,50
3,0035-0090,2.532,300,0.008,70,50,110,20
4,0035-0092,2.215,310,0.007,75,51,110,20
5,0038-0111,2.785,350,0.008,89,55,133,20
6,0047-0106,3.735,530,0.007,76,73,135,20
7,0040-0096,3.355,340,0.010,70,57,123,23
8,0041-0099,3.102,360,0.009,75,59,124,23
9,0087-0070,2.405,370,0.007,50,106,88,69
10,0088-0072,1.962,350,0.006,57,106,88,71
11,0029-0069,1.456,150,0.010,57,36,80,21
12,0038-0066,1.582,320,0.005,54,53,79,21
13,0026-0047,0.949,140,0.007,39,32,54,18
14,0026-0048,0.696,150,0.005,43,33,54,18
15,0024-0072,0.760,110,0.007,65,30,77,19
16,0029-0071,0.506,180,0.003,67,37,75,19
17,0030-0086,2.279,350,0.007,68,47,104,12
18,0029-0092,1.646,350,0.005,79,47,105,12
19,0084-0043,0.696,150,0.005,38,92,49,77
20,0085-0046,0.316,140,0.002,44,92,49,78
21,0080-0170,3.418,520,-0.007,143,54,197,106
22,0087-0166,2.848,640,-0.004,143,55,188,119
23,0056-0018,1.139,180,0.006,9,64,27,46
24,0057-0022,0.696,180,0.004,16,66,27,48
25,0037-0049,0.949,200,0.005,41,47,56,27
26,0037-0054,0.506,220,0.002,50,48,58,26
27,0023-0121,1.519,200,-0.008,109,13,133,33
28,0024-0117,1.139,220,-0.005,108,13,126,35
29,0030-0037,1.582,170,0.009,25,39,50,22
30,0032-0043,0.949,170,0.006,35,40,50,23
31,0056-0149,0.696,80,-0.009,143,51,154,59
32,0056-0147,0.316,80,-0.004,145,52,150,60
33,0056-0097,1.456,150,-0.010,86,48,109,63
34,0066-0105,2.469,320,-0.008,86,49,125,81
35,0051-0048,4.558,580,0.008,12,79,84,21
36,0052-0068,1.962,590,0.003,53,81,84,22
37,0028-0027,1.456,290,0.005,15,43,38,14
38,0029-0030,0.949,300,0.003,23,43,38,13
39,0023-0086,0.886,90,-0.010,78,19,92,28
40,0024-0085,0.570,80,-0.007,80,19,89,27
