Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0003-0123,1.266,60,0.021,113,6,133,0
2,0004-0127,1.582,70,0.023,115,7,140,0
3,0006-0127,1.836,120,0.015,112,12,141,0
4,0006-0130,1.772,130,0.014,115,13,143,0
5,0003-0148,1.203,60,0.020,138,6,157,0
6,0003-0153,1.519,70,0.022,140,7,164,0
7,0006-0168,1.139,110,0.010,159,11,177,0
8,0006-0173,1.456,120,0.012,162,12,185,0
9,0003-0049,1.139,60,-0.019,39,0,57,6
10,0004-0066,0.949,70,0.014,58,7,73,0
11,0007-0067,1.519,130,0.012,55,13,79,0
12,0007-0048,1.456,140,-0.010,37,0,60,14
