Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0002-0040-0058,2.279,250,-0.009,40,27,76,52
2,0002-0041-0058,2.279,270,-0.008,40,27,76,54
3,0002-0100-0056,4.178,520,0.008,23,126,89,74
4,0002-0106-0061,3.608,630,0.006,32,137,89,74
5,0002-0068-0106,1.329,160,-0.008,96,60,117,76
6,0002-0069-0106,1.329,180,-0.007,96,60,117,78
7,0002-0101-0044,2.469,460,0.005,25,124,64,78
8,0002-0110-0046,2.279,650,0.004,28,143,64,78
9,0002-0114-0042,2.089,300,0.007,26,129,59,99
10,0002-0114-0045,1.772,310,0.006,31,130,59,99
11,0002-0103-0055,2.089,220,-0.009,38,91,71,113
12,0002-0116-0058,2.405,490,-0.005,38,91,76,140
13,0002-0095-0033,3.798,440,0.009,2,116,62,72
14,0002-0096-0032,3.861,470,0.008,1,119,62,72
15,0002-0028-0064,0.696,90,0.008,58,33,69,24
16,0002-0029-0064,0.696,100,0.007,58,34,69,24
17,0002-0073-0073,2.659,310,-0.009,52,57,94,88
18,0002-0097-0077,3.038,780,-0.004,52,57,100,135
19,0002-0074-0126,4.558,500,-0.009,90,49,162,99
20,0002-0094-0125,4.368,910,-0.005,90,49,159,140
21,0002-0060-0153,0.633,50,-0.013,147,58,157,63
22,0002-0061-0152,0.570,60,-0.009,147,58,156,64
23,0002-0096-0089,2.469,270,-0.009,70,82,109,109
24,0002-0106-0088,2.342,460,-0.005,70,83,107,129
25,0002-0034-0091,2.026,220,-0.009,75,23,107,45
26,0002-0034-0089,1.836,230,-0.008,75,23,104,46
27,0002-0092-0038,1.456,170,0.009,26,100,49,83
28,0002-0093-0039,1.266,190,0.007,29,102,49,83
29,0002-0082-0072,1.709,240,-0.007,59,69,86,93
30,0002-0082-0071,1.519,250,-0.006,59,69,83,94
31,0002-0081-0111,2.659,370,-0.007,90,62,132,99
32,0002-0104-0104,1.836,840,-0.002,90,62,119,146
33,0002-0076-0067,3.292,370,-0.009,41,58,93,95
34,0002-0077-0067,3.165,380,-0.008,41,58,91,96
35,0002-0078-0056,2.279,260,0.009,38,91,74,65
36,0002-0102-0055,2.342,740,0.003,37,139,74,65
37,0002-0047-0050,0.823,110,-0.007,43,41,56,52
38,0002-0047-0049,0.760,120,-0.006,43,41,55,53
39,0002-0048-0096,4.684,490,-0.010,59,24,133,73
40,0002-0060-0103,5.444,730,-0.007,59,24,145,97
41,0002-0041-0079,2.785,340,-0.008,57,23,101,57
42,0002-0041-0079,2.722,350,-0.008,57,23,100,58
43,0002-0085-0004,0.506,70,0.007,0,89,8,82
44,0002-0095-0005,0.506,270,0.002,0,109,8,82
45,0002-0068-0029,3.355,350,0.010,3,86,56,51
46,0002-0101-0038,2.279,990,0.002,20,150,56,51
47,0002-0050-0084,3.735,440,-0.008,55,28,114,72
48,0002-0060-0077,2.722,650,-0.004,55,28,98,93
49,0002-0051-0024,2.595,380,0.007,3,70,44,32
50,0002-0053-0024,2.469,420,0.006,5,74,44,32
51,0002-0050-0055,1.899,250,-0.008,39,38,69,63
52,0002-0051-0055,1.962,260,-0.008,39,38,70,64
53,0002-0029-0038,0.570,60,-0.009,33,25,42,31
54,0002-0029-0037,0.570,60,-0.009,33,25,42,31
55,0002-0064-0026,2.405,300,0.008,7,79,45,49
56,0002-0064-0026,2.405,310,0.008,7,80,45,49
57,0002-0058-0024,2.342,240,0.010,5,70,42,46
58,0002-0061-0024,2.342,310,0.008,5,77,42,46
59,0002-0040-0056,2.405,350,-0.007,37,23,75,58
60,0002-0044-0057,2.595,430,-0.006,37,23,78,66
61,0002-0049-0026,2.848,330,0.009,4,66,49,33
62,0002-0090-0034,2.026,1140,0.002,17,147,49,33
63,0002-0049-0071,3.925,410,-0.010,40,28,102,69
64,0002-0057-0072,3.988,570,-0.007,40,28,103,85
65,0002-0049-0089,3.925,470,-0.008,58,26,120,73
66,0002-0065-0095,4.684,790,-0.006,58,26,132,105
67,0002-0050-0027,2.912,330,0.009,4,67,50,34
68,0002-0054-0027,2.975,400,0.007,3,74,50,34
69,0002-0048-0040,2.595,320,0.008,20,64,61,32
70,0002-0049-0041,2.595,330,0.008,20,65,61,32
71,0002-0046-0055,2.532,310,-0.008,35,31,75,62
72,0002-0047-0055,2.595,330,-0.008,35,31,76,64
73,0002-0043-0060,2.279,360,-0.006,42,25,78,61
74,0002-0043-0060,2.279,370,-0.006,42,25,78,62
75,0002-0047-0081,2.342,290,-0.008,62,33,99,62
76,0002-0079-0081,2.342,920,-0.003,62,33,99,125
77,0002-0046-0121,4.558,560,-0.008,85,18,157,74
78,0002-0046-0122,4.684,570,-0.008,85,18,159,75
79,0002-0028-0044,0.760,100,0.008,38,33,50,23
80,0002-0029-0044,0.760,120,0.006,38,35,50,23
81,0002-0038-0074,3.292,330,-0.010,48,22,100,55
82,0002-0055-0081,4.178,660,-0.006,48,22,114,88
83,0002-0047-0088,1.836,210,-0.009,73,37,102,58
84,0002-0050-0083,1.266,250,-0.005,73,37,93,62
85,0002-0029-0061,1.013,120,-0.008,53,23,69,35
86,0002-0030-0059,0.823,140,-0.006,53,23,66,37
87,0002-0040-0045,3.481,350,0.010,18,57,73,22
88,0002-0071-0046,3.481,970,0.004,18,119,73,22
89,0002-0036-0070,2.342,250,-0.009,51,23,88,48
90,0002-0052-0071,2.532,570,-0.004,51,23,91,80
91,0002-0046-0091,3.292,360,-0.009,64,28,116,64
92,0002-0057-0091,3.355,570,-0.006,64,28,117,85
