Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0002-0081-0104,1.836,430,-0.004,89,59,118,102
2,0002-0081-0103,1.709,430,-0.004,89,59,116,102
3,0002-0089-0067,2.215,420,-0.005,50,68,85,110
4,0002-0090-0066,2.089,440,-0.005,50,68,83,112
5,0002-0058-0112,2.975,620,-0.005,89,27,136,89
6,0002-0059-0111,2.848,640,-0.004,89,27,134,91
7,0002-0083-0076,2.975,560,-0.005,53,55,100,111
8,0002-0083-0076,2.912,560,-0.005,53,55,99,111
9,0002-0090-0059,2.089,460,-0.005,43,67,76,113
10,0002-0090-0059,2.026,460,-0.004,43,67,75,113
11,0002-0057-0056,3.038,530,-0.006,32,31,80,84
12,0002-0060-0055,2.912,590,-0.005,32,31,78,90
13,0002-0051-0043,2.152,390,0.006,26,70,60,31
14,0002-0051-0044,2.026,390,0.005,28,70,60,31
15,0002-0039-0051,2.659,400,0.007,29,59,71,19
16,0002-0042-0052,2.469,460,0.005,32,65,71,19
17,0002-0041-0032,2.026,400,0.005,16,61,48,21
18,0002-0043-0034,1.772,450,0.004,20,66,48,21
19,0002-0050-0056,0.886,550,0.002,49,78,63,23
20,0002-0050-0058,0.696,550,0.001,52,78,63,23
21,0002-0052-0048,0.949,210,0.005,41,62,56,41
22,0002-0055-0050,0.760,270,0.003,44,68,56,41
23,0002-0022-0034,0.760,150,0.005,28,29,40,14
24,0002-0023-0035,0.570,170,0.003,31,31,40,14
25,0002-0091-0067,1.772,310,-0.006,53,75,81,106
26,0002-0091-0066,1.709,310,-0.006,53,75,80,106
27,0002-0096-0073,1.329,220,-0.006,63,85,84,107
28,0002-0097-0073,1.266,220,-0.006,63,85,83,107
29,0002-0084-0037,4.494,800,0.006,1,124,72,44
30,0002-0101-0047,3.102,1140,0.003,23,158,72,44
31,0002-0102-0032,1.203,320,0.004,23,118,42,86
32,0002-0102-0032,1.203,330,0.004,23,119,42,86
33,0002-0108-0113,1.393,330,-0.004,102,92,124,125
34,0002-0110-0110,1.013,350,-0.003,102,92,118,127
35,0002-0095-0129,3.038,570,-0.005,105,66,153,123
36,0002-0096-0128,2.912,590,-0.005,105,66,151,125
37,0002-0076-0045,4.621,920,0.005,8,122,81,30
38,0002-0079-0049,3.988,970,0.004,18,127,81,30
39,0002-0044-0119,1.076,240,-0.004,110,31,127,55
40,0002-0044-0119,1.013,250,-0.004,110,31,126,56
41,0002-0019-0049,0.696,110,0.006,44,24,55,13
42,0002-0020-0050,0.633,120,0.005,45,25,55,13
43,0002-0029-0031,1.519,230,0.007,18,41,42,18
44,0002-0036-0030,1.519,360,0.004,18,54,42,18
45,0002-0050-0101,1.266,200,-0.006,91,39,111,59
46,0002-0050-0101,1.266,200,-0.006,91,39,111,59
47,0002-0074-0205,0.443,80,-0.006,201,70,208,78
48,0002-0074-0204,0.253,80,-0.003,201,70,205,78
49,0002-0026-0032,1.772,300,0.006,18,40,46,10
50,0002-0028-0033,1.709,340,0.005,19,44,46,10
51,0002-0028-0031,0.443,80,0.006,27,31,34,23
52,0002-0028-0031,0.380,80,0.005,28,31,34,23
53,0002-0062-0037,0.760,100,0.008,31,66,43,56
54,0002-0062-0038,0.760,110,0.007,31,67,43,56
55,0002-0022-0070,0.823,160,-0.005,64,14,77,30
56,0002-0023-0070,0.760,170,-0.004,64,14,76,31
57,0002-0047-0033,1.519,300,0.005,21,62,45,32
58,0002-0048-0035,1.393,310,0.004,23,63,45,32
59,0002-0073-0070,1.709,260,-0.007,56,59,83,85
60,0002-0074-0068,1.393,290,-0.005,56,59,78,88
61,0002-0029-0027,1.709,250,0.007,14,41,41,16
62,0002-0031-0028,1.646,290,0.006,15,45,41,16
63,0002-0018-0046,0.633,90,-0.007,40,14,50,23
64,0002-0019-0046,0.633,100,-0.006,40,14,50,24
65,0002-0052-0069,1.013,200,0.005,61,62,77,42
66,0002-0053-0069,0.949,220,0.004,62,64,77,42
67,0002-0036-0024,1.709,300,0.006,10,50,37,20
68,0002-0042-0023,1.709,420,0.004,10,62,37,20
69,0002-0024-0024,1.076,180,0.006,15,32,32,14
70,0002-0031-0026,0.760,330,0.002,20,47,32,14
71,0002-0040-0056,1.076,180,-0.006,47,31,64,49
72,0002-0040-0055,1.013,180,-0.006,47,31,63,49
73,0002-0022-0063,1.013,150,0.007,55,29,71,14
74,0002-0023-0063,0.949,160,0.006,56,30,71,14
75,0002-0075-0094,2.089,420,-0.005,77,53,110,95
76,0002-0077-0093,1.899,470,-0.004,77,53,107,100
77,0002-0098-0021,2.215,450,0.005,4,120,39,75
78,0002-0108-0026,1.646,640,0.003,13,139,39,75
79,0002-0091-0056,2.469,430,-0.006,36,69,75,112
80,0002-0094-0054,2.279,480,-0.005,36,69,72,117
