Track ID,ROI ID,Track  (um),Track duration (s),Track speed (um/s),x1,y1,x2,y2
1,0002-0058-0198,13.736,670,0.021,89,91,306,24
2,0002-0062-0199,13.609,750,0.018,91,99,306,24
3,0002-0065-0195,13.483,720,-0.019,88,28,301,100
4,0002-0067-0194,13.293,760,-0.017,88,28,298,104
5,0002-0092-0217,6.077,440,-0.014,169,70,265,114
6,0002-0109-0211,5.191,780,-0.007,169,70,251,148
7,0002-0050-0097,8.609,400,-0.022,29,29,165,69
8,0002-0104-0076,5.950,1490,-0.004,29,29,123,178
9,0002-0049-0143,2.215,120,0.018,125,55,160,43
10,0002-0050-0145,1.962,150,0.013,129,58,160,43
11,0001-0083-0179,6.836,380,-0.018,125,63,233,101
12,0002-0095-0173,6.140,630,-0.010,125,63,222,126
13,0002-0072-0064,2.848,130,0.022,41,78,86,65
14,0002-0074-0065,2.722,160,0.017,43,81,86,65
15,0002-0034-0214,3.671,250,-0.015,185,22,243,47
16,0002-0037-0213,3.481,290,-0.012,185,22,240,51
17,0002-0071-0220,15.572,890,-0.017,96,26,342,115
18,0002-0072-0219,15.508,900,-0.017,96,26,341,116
19,0002-0078-0168,10.824,610,-0.018,82,48,253,109
20,0002-0103-0161,9.938,1110,-0.009,82,48,239,159
21,0002-0094-0143,4.684,180,-0.026,106,85,180,103
22,0002-0105-0162,7.090,400,-0.018,106,85,218,125
23,0002-0072-0248,12.533,620,-0.020,149,41,347,103
24,0002-0074-0248,12.470,650,-0.019,149,41,346,106
25,0002-0044-0156,4.684,230,-0.020,119,33,193,56
26,0002-0064-0155,4.621,620,-0.007,119,33,192,95
27,0002-0066-0250,16.078,710,-0.023,123,30,377,101
28,0002-0066-0251,16.141,730,-0.022,123,30,378,103
29,0002-0066-0335,16.015,650,-0.025,209,34,462,99
30,0002-0068-0333,15.762,680,-0.023,209,34,458,102
31,0002-0086-0084,9.115,580,0.016,11,114,155,56
32,0002-0113-0099,7.090,1130,0.006,43,169,155,56
33,0002-0031-0165,2.595,190,0.014,144,40,185,21
34,0002-0031-0167,2.279,190,0.012,149,40,185,21
35,0001-0071-0166,12.280,650,-0.019,68,39,262,104
36,0002-0103-0152,10.508,1280,-0.008,68,39,234,167
37,0002-0059-0119,5.887,440,-0.013,72,37,165,81
38,0002-0087-0119,5.887,1010,-0.006,72,37,165,138
39,0002-0090-0123,4.558,280,-0.016,86,76,158,104
40,0002-0095-0122,4.494,380,-0.012,86,76,157,114
41,0002-0071-0207,8.735,450,-0.019,138,49,276,94
42,0002-0103-0204,8.356,1070,-0.008,138,49,270,156
43,0002-0065-0193,17.724,870,-0.020,52,21,332,108
44,0002-0082-0189,17.281,1210,-0.014,52,21,325,142
45,0002-0069-0197,15.445,830,-0.019,74,28,318,111
46,0002-0071-0197,15.445,850,-0.018,74,28,318,113
47,0002-0042-0101,5.254,260,-0.020,60,29,143,55
48,0002-0053-0112,6.520,470,-0.014,60,29,163,76
49,0002-0057-0200,11.331,500,-0.023,111,32,290,82
50,0002-0083-0209,12.343,1020,-0.012,111,32,306,134
51,0002-0040-0092,5.950,310,-0.019,44,25,138,56
