Label,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_COLOR,MEAN_INTENSITY,MEDIAN_INTENSITY,MIN_INTENSITY,MAX_INTENSITY,TOTAL_INTENSITY,STANDARD_DEVIATION,ESTIMATED_DIAMETER,CONTRAST,SNR
ID1594907,1594907,0,669.939,5.438,4.824,0,0.000,0,0.150,1,-10921639,3529.600,3525,2768,4312,17648,590.328,0.477,0.146,1.521
ID1594839,1594839,0,789.468,5.410,4.852,0,0.300,1,0.150,1,-10921639,3551.600,3284,2608,4523,17758,798.327,0.300,0.152,1.173
ID1594764,1594764,0,623.638,5.426,4.842,0,0.600,2,0.150,1,-10921639,3341.000,3494,2928,3588,16705,289.254,0.481,0.117,2.429
ID1595046,1595046,0,761.542,5.378,4.780,0,1.500,5,0.150,1,-10921639,3434.400,3328,3213,3832,17172,261.880,0.300,0.130,3.007
ID1595177,1595177,0,522.163,5.345,4.804,0,1.800,6,0.150,1,-10921639,3054.000,3091,2418,3521,15270,402.009,0.479,0.074,1.043
ID1595239,1595239,0,931.728,5.330,4.868,0,2.100,7,0.150,1,-10921639,3598.200,3733,3071,4001,17991,359.240,0.240,0.151,2.631
ID1595290,1595290,0,982.104,5.386,4.860,0,2.400,8,0.150,1,-10921639,3612.200,3546,3199,3978,18061,306.566,0.477,0.155,3.166
ID1595458,1595458,0,952.350,5.391,4.872,0,3.300,11,0.150,1,-10921639,3634.000,3669,3059,4012,18170,350.948,0.300,0.133,2.430
ID1595520,1595520,0,674.237,5.374,4.872,0,3.600,12,0.150,1,-10921639,3465.800,3432,2919,3928,17329,382.613,0.478,0.131,2.102
ID1595585,1595585,0,882.896,5.417,4.899,0,3.900,13,0.150,1,-10921639,3496.400,3545,3027,3757,17482,279.778,0.300,0.134,2.960
ID1595718,1595718,0,1152.653,5.407,4.864,0,4.200,14,0.150,1,-10921639,3661.000,3663,3410,3841,18305,158.356,0.300,0.164,6.519
ID1595649,1595649,0,605.432,5.442,4.902,0,4.500,15,0.150,1,-10921639,3545.400,3568,3218,4055,17727,331.258,0.240,0.126,2.397
ID1595838,1595838,0,1014.286,5.392,4.806,0,4.800,16,0.150,1,-10921639,3942.800,3690,3506,4488,19714,439.779,0.478,0.160,2.478
ID1595903,1595903,0,527.404,5.351,4.773,0,5.400,18,0.150,1,-10921639,2931.200,3087,2416,3101,14656,293.778,0.240,0.085,1.557
ID1595961,1595961,0,534.309,5.328,4.833,0,5.700,19,0.150,1,-10921639,3042.400,2952,2709,3467,15212,324.666,0.477,0.126,2.095
ID1594909,1594909,1,640.994,11.447,5.101,0,0.000,0,0.150,1,-10921639,3474.200,3590,2705,3927,17371,463.098,0.240,0.122,1.635
ID1594841,1594841,1,645.995,11.437,5.195,0,0.300,1,0.150,1,-10921639,3178.000,3031,2847,4047,15890,494.761,0.479,0.120,1.380
ID1594766,1594766,1,556.791,11.279,5.171,0,0.600,2,0.150,1,-10921639,2895.200,2761,2523,3314,14476,364.164,0.300,0.075,1.107
ID1595116,1595116,1,503.900,11.419,5.157,0,0.900,3,0.150,1,-10921639,3246.800,3338,2591,3521,16234,377.224,0.240,0.109,1.692
ID1594975,1594975,1,788.701,11.367,5.213,0,1.200,4,0.150,1,-10921639,2966.000,3283,2163,3434,14830,553.754,0.300,0.068,0.686
ID1595048,1595048,1,631.370,11.461,5.172,0,1.500,5,0.150,1,-10921639,3047.200,3143,2477,3279,15236,324.087,0.240,0.115,1.937
ID1595402,1595402,1,512.444,11.415,5.173,0,3.000,10,0.150,1,-10921639,3219.600,3168,2828,3732,16098,345.474,0.240,0.127,2.099
ID1595460,1595460,1,604.313,11.270,5.180,0,3.300,11,0.150,1,-10921639,3100.000,3027,2965,3450,15500,197.697,0.240,0.096,2.756
ID1595523,1595523,1,542.328,11.443,5.189,0,3.600,12,0.150,1,-10921639,3128.400,3022,2784,3741,15642,360.529,0.240,0.124,1.911
ID1595778,1595778,1,573.169,11.380,5.118,0,5.100,17,0.150,1,-10921639,3033.200,3078,2707,3491,15166,326.674,0.478,0.095,1.605
ID1595906,1595906,1,665.023,11.467,5.167,0,5.400,18,0.150,1,-10921639,3333.600,3289,2735,3853,16668,415.894,0.478,0.129,1.831
ID1596315,1596315,1,707.917,11.469,5.189,0,7.500,25,0.150,1,-10921639,2974.800,2946,2820,3191,14874,137.865,0.240,0.138,5.218
ID1596367,1596367,1,797.776,11.428,5.193,0,7.800,26,0.150,1,-10921639,3438.800,3382,2687,4315,17194,597.035,0.481,0.154,1.537
ID1594910,1594910,2,1036.946,18.108,5.132,0,0.000,0,0.150,1,-10921639,4048.200,3952,3618,4530,20241,339.482,0.240,0.203,4.030
ID1594842,1594842,2,1057.960,18.209,5.207,0,0.300,1,0.150,1,-10921639,3881.600,3852,3697,4180,19408,183.783,0.240,0.168,6.080
ID1594768,1594768,2,1277.916,18.249,5.213,0,0.600,2,0.150,1,-10921639,4286.600,4328,3812,4737,21433,338.840,0.240,0.205,4.305
ID1595117,1595117,2,1021.367,18.259,5.233,0,0.900,3,0.150,1,-10921639,3956.200,3918,3809,4131,19781,134.144,0.477,0.148,7.616
ID1594903,1594903,3,885.413,10.366,4.024,0,0.000,0,0.150,1,-10921639,3451.200,3390,3193,3759,17256,221.908,0.300,0.113,3.170
ID1594838,1594838,3,795.086,10.389,4.203,0,0.300,1,0.150,1,-10921639,3613.400,3641,3305,4012,18067,273.887,0.475,0.129,3.013
ID1595043,1595043,3,522.182,10.406,4.207,0,1.500,5,0.150,1,-10921639,3376.400,3393,2986,3839,16882,369.813,0.240,0.124,2.018
ID1595174,1595174,3,693.073,10.434,4.371,0,1.800,6,0.150,1,-10921639,3638.400,3603,2874,4168,18192,491.676,0.240,0.150,1.926
ID1595238,1595238,3,651.964,10.486,4.603,0,2.100,7,0.150,1,-10921639,3261.000,3286,3003,3443,16305,171.751,0.481,0.102,3.513
ID1595288,1595288,3,773.677,10.396,4.566,0,2.400,8,0.150,1,-10921639,3393.800,3456,2599,3879,16969,502.191,0.300,0.105,1.282
ID1595582,1595582,3,749.590,10.309,4.405,0,3.900,13,0.150,1,-10921639,3143.200,3253,2732,3388,15716,254.308,0.478,0.111,2.461
ID1595716,1595716,3,1020.440,10.415,4.447,0,4.200,14,0.150,1,-10921639,4085.800,3877,3176,5103,20429,718.152,0.478,0.174,1.690
ID1594889,1594889,4,573.479,5.091,1.620,0,0.000,0,0.150,1,-10921639,3034.000,2958,2699,3436,15170,298.038,0.240,0.117,2.133
ID1594824,1594824,4,532.489,5.001,1.552,0,0.300,1,0.150,1,-10921639,2929.200,3059,2365,3173,14646,322.216,0.240,0.076,1.291
ID1594891,1594891,5,975.948,10.981,1.807,0,0.000,0,0.150,1,-10921639,4144.000,3812,3230,5010,20720,786.360,0.300,0.182,1.624
ID1594826,1594826,5,919.780,10.934,1.979,0,0.300,1,0.150,1,-10921639,3757.400,3692,3348,4395,18787,390.920,0.480,0.142,2.384
ID1594752,1594752,5,1137.103,10.995,2.038,0,0.600,2,0.150,1,-10921639,4002.800,3818,3755,4708,20014,403.560,0.240,0.177,2.988
