Coefficient 0,Coefficient 1,[Tubulin] $(\mu M)$,[DCX] $(\mu M)$,DCX Type,Parameter
0.5274457359177201,0.05754590500708916,5.0,0.0,None,Growth Rate $(\mu m / min)$
0.003337680542007005,0.002726496734023312,5.0,0.0,None,Growth Rate $(\mu m / min)$
0.5765549925180367,0.08619236921734698,5.0,100.0,P191R,Growth Rate $(\mu m / min)$
0.005402404318302841,0.004411044710169709,5.0,100.0,P191R,Growth Rate $(\mu m / min)$
0.531766082385509,0.08632509103476527,6.0,100.0,WT,Growth Rate $(\mu m / min)$
0.003930003623011301,0.003208834552432181,6.0,100.0,WT,Growth Rate $(\mu m / min)$
0.5232331886535806,0.07217910536773313,6.0,0.0,None,Growth Rate $(\mu m / min)$
0.004249580363973512,0.0034697701943787224,6.0,0.0,None,Growth Rate $(\mu m / min)$
0.4648121013241009,0.07714157916600617,6.0,100.0,P191R,Growth Rate $(\mu m / min)$
0.007418566715548566,0.006057234547931078,6.0,100.0,P191R,Growth Rate $(\mu m / min)$
0.6642904967771075,0.09866343130831115,7.0,100.0,WT,Growth Rate $(\mu m / min)$
0.007955329500174562,0.006495499323889306,7.0,100.0,WT,Growth Rate $(\mu m / min)$
0.6353066543772371,0.09835663414046808,7.0,0.0,None,Growth Rate $(\mu m / min)$
0.005318868263932619,0.0043428377697487105,7.0,0.0,None,Growth Rate $(\mu m / min)$
0.5849130527967483,0.08279512263257464,5.0,100.0,WT,Growth Rate $(\mu m / min)$
0.008237022220893862,0.00672550054879523,5.0,100.0,WT,Growth Rate $(\mu m / min)$
