Coefficient 0,Coefficient 1,[Tubulin] $(\mu M)$,[DCX] $(\mu M)$,DCX Type,Parameter
1.4572120761640872,3.667188074505213,5.0,0.0,None,Lifetime $(min)$
0.18898045678173991,0.6080958488026903,5.0,0.0,None,Lifetime $(min)$
3.3728286617301375,2.601928535500466,5.0,100.0,P191R,Lifetime $(min)$
0.4593858562437156,0.4106170175009121,5.0,100.0,P191R,Lifetime $(min)$
4.941304900736981,1.8481130210241368,6.0,100.0,WT,Lifetime $(min)$
0.5329299512531455,0.21947623381617798,6.0,100.0,WT,Lifetime $(min)$
1.2576076046324605,3.318213611340474,6.0,0.0,None,Lifetime $(min)$
0.16108782787677675,0.4991471445800337,6.0,0.0,None,Lifetime $(min)$
4.531442235615287,3.5349129633369762,6.0,100.0,P191R,Lifetime $(min)$
0.9919134100843994,0.8606133888717914,6.0,100.0,P191R,Lifetime $(min)$
2.6113196911563614,4.496604755034039,7.0,100.0,WT,Lifetime $(min)$
0.8340065732395804,1.7516330956503785,7.0,100.0,WT,Lifetime $(min)$
1.6438667476210542,3.124658399655393,7.0,0.0,None,Lifetime $(min)$
0.12472301948958833,0.3020881173993614,7.0,0.0,None,Lifetime $(min)$
2.674943172995245,3.6200258670485916,5.0,100.0,WT,Lifetime $(min)$
0.6820324484917477,1.119675188880605,5.0,100.0,WT,Lifetime $(min)$
