Growth Rate $(\mu m / min)$,Growth Rate $(\mu m / min)$,[Tubulin] $(\mu M)$,[DCX] $(\mu M)$,DCX Type,Time to Nucleate $(min)$,Lifetime $(min)$,Lifetime $(min)$,Lifetime $(min)$,Shrink Rate $(\mu m / min)$,Shrink Rate $(\mu m / min)$
Coefficient 0,Coefficient 1,,,,Coefficient 0,Coefficient 0,Coefficient 1,Mean,Coefficient 0,Coefficient 1
0.527445735916534,0.057545904911622675,5.0,0.0,None,5.480782009127027,1.4572120932808748,3.6671880276884323,5.343870742282423,13.888440455130842,6.668000700034481
0.003337680533158079,0.0027264967599985005,5.0,0.0,None,0.4221193946825801,0.18898046103427463,0.6080959073914353,1.5791515942973386,1.1465558512609288,0.952636029674059
0.5765549925180367,0.08619236921734698,5.0,100.0,P191R,1.411404570894685,3.3728285910354074,2.601928597364617,8.775859165024034,1.3153001162597366,0.6135959987995069
0.005402404318302841,0.004411044710169709,5.0,100.0,P191R,0.05550276797994069,0.4593858710497778,0.4106170411885816,2.580230131596883,0.033453661634012574,0.027380116034502452
0.5317660824039416,0.08632509096473048,6.0,100.0,WT,1.1346750813209912,4.941304929259892,1.8481130090729505,9.132089921561501,1.0424731341027642,0.341235067975672
0.00393000363149167,0.003208834558006751,6.0,100.0,WT,0.05609141680523043,0.5329299539218563,0.2194762369973179,2.0694137924978895,0.005439151113463663,0.0034760269000469546
0.5232331886535806,0.07217910536773313,6.0,0.0,None,7.487818629993124,1.2576076148349595,3.3182135771013535,4.1730106622114125,13.994045253770768,7.122377154337612
0.004249580363973512,0.0034697701943787224,6.0,0.0,None,1.0196924171404784,0.16108782432601065,0.4991471330306288,1.1622550412066435,1.019510541272695,0.8527787447818983
0.4648121014387173,0.07714157911203794,6.0,100.0,P191R,1.6250389862781045,4.5314422346417205,3.534912964416767,16.018253902740703,1.084537974024192,0.34822056990379446
0.007418566743930899,0.006057234457402086,6.0,100.0,P191R,0.06759457435835801,0.9919134483033261,0.8606133748893884,7.406147502658091,0.020155650649883474,0.014465046290047249
0.6642904967771075,0.09866343130831115,7.0,100.0,WT,1.667319567415766,2.611319745081279,4.496604656305198,11.742072524834182,1.546377195584334,0.6061476445654979
0.007955329500174562,0.006495499323889306,7.0,100.0,WT,0.10465741996377909,0.8340066015293002,1.751633137931894,8.324272167046159,0.03712867194143641,0.03032141090199555
0.6353066543434477,0.09835663411378677,7.0,0.0,None,2.8175293323897312,1.643866744653986,3.1246584084772717,5.136522046099238,16.21803512199039,5.0321753991634335
0.005318868268088352,0.004342837776218558,7.0,0.0,None,0.15212917825217037,0.12472301823648338,0.3020881193973132,0.8863094410955978,0.5190312479446209,0.4246482853079706
0.5849130528106149,0.08279512262026356,5.0,100.0,WT,1.2795875276791375,2.674943190298074,3.6200258388875475,9.683363466435319,1.6309585479929918,0.8484461655290022
0.008237022223399237,0.006725500555117349,5.0,100.0,WT,0.05842666385562777,0.682032463301419,1.1196751739914188,5.464042622125417,0.05655193822343192,0.046574263315721544
