Coefficient 0,[Tubulin] $(\mu M)$,[DCX] $(\mu M)$,DCX Type,Parameter
5.4807820117551955,5.0,0.0,None,Time to Nucleate $(min)$
0.42211939428076284,5.0,0.0,None,Time to Nucleate $(min)$
1.4114045701709312,5.0,100.0,P191R,Time to Nucleate $(min)$
0.0555027678600714,5.0,100.0,P191R,Time to Nucleate $(min)$
1.1346750814859707,6.0,100.0,WT,Time to Nucleate $(min)$
0.056091416806053895,6.0,100.0,WT,Time to Nucleate $(min)$
7.487818594660733,6.0,0.0,None,Time to Nucleate $(min)$
1.0196924107394763,6.0,0.0,None,Time to Nucleate $(min)$
1.6250389877598599,6.0,100.0,P191R,Time to Nucleate $(min)$
0.06759457429404944,6.0,100.0,P191R,Time to Nucleate $(min)$
1.6673195591376382,7.0,100.0,WT,Time to Nucleate $(min)$
0.10465741925812493,7.0,100.0,WT,Time to Nucleate $(min)$
2.817529333345467,7.0,0.0,None,Time to Nucleate $(min)$
0.1521291793971698,7.0,0.0,None,Time to Nucleate $(min)$
1.2795875295792547,5.0,100.0,WT,Time to Nucleate $(min)$
0.05842666439450835,5.0,100.0,WT,Time to Nucleate $(min)$
